token,label_1,label_2,labels (1),30 classes,99.93% completed,labels (2),1,0.02% completed,Notes
invoice,i-document,,,,,,,,
duly,b-field,,,,,,,,
accepted,O,,,,,,,,
by,b-by,,,,,,,,
our,O,,,,,,,,
authorized,b-actor,,,,,,,,
signatories,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,b-field,,,,,,,,
.,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
lorry,b-document,,,,,,,,
receipt,i-document,,,,,,,,
with,O,,,,,,,,
mills,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
destination,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
.,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
goods,b-document,,,,,,,,
receipt,i-document,,,,,,,,
note,i-document,,,,,,,,
at,b-by,,,,,,,,
mills,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
.,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
insurance,b-document,,,,,,,,
policy,i-document,,,,,,,,
/,b-or,,,,,,,,
certificate,b-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
duly,b-field,,,,,,,,
accepted,O,,,,,,,,
by,b-by,,,,,,,,
our,O,,,,,,,,
authorized,b-actor,,,,,,,,
signatories,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,b-field,,,,,,,,
.,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
lorry,b-document,,,,,,,,
receipt,i-document,,,,,,,,
with,O,,,,,,,,
mills,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
destination,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
.,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
goods,b-document,,,,,,,,
receipt,i-document,,,,,,,,
note,i-document,,,,,,,,
at,b-by,,,,,,,,
mills,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
.,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
insurance,b-document,,,,,,,,
policy,i-document,,,,,,,,
/,b-or,,,,,,,,
certificate,b-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
quadruplicate,b-field,,,,,,,,
stating,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
import,b-field,,,,,,,,
into,i-document,,,,,,,,
india,b-field,,,,,,,,
is,O,,,,,,,,
under,O,,,,,,,,
free,b-field,,,,,,,,
import,i-field,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
foreign,b-field,,,,,,,,
trade,i-field,,,,,,,,
policy,i-field,,,,,,,,
",",i-field,,,,,,,,
april,i-field,,,,,,,,
/,i-field,,,,,,,,
march,i-field,,,,,,,,
2015,i-field,,,,,,,,
-,i-field,,,,,,,,
20,i-field,,,,,,,,
',O,,,,,,,,
and,O,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
goods,b-goods,,,,,,,,
are,O,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
beneficiary,b-actor,,,,,,,,
',i-field,,,,,,,,
s,i-field,,,,,,,,
proforma,i-field,,,,,,,,
invoice,i-field,,,,,,,,
no,i-field,,,,,,,,
.,i-field,,,,,,,,
pi031912008,i-field,,,,,,,,
dtd,i-field,,,,,,,,
10,i-field,,,,,,,,
.,i-field,,,,,,,,
12,i-field,,,,,,,,
.,i-field,,,,,,,,
2019,i-field,,,,,,,,
.',O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
(,i-document,,,,,,,,
long,i-document,,,,,,,,
form,i-document,,,,,,,,
),O,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
shippers,b-actor,,,,,,,,
and,b-and,,,,,,,,
endorsed,O,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
the,O,,,,,,,,
applicant,b-actor,,,,,,,,
(,i-actor,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
address,b-field,,,,,,,,
"),",i-field,,,,,,,,
quoting,O,,,,,,,,
the,O,,,,,,,,
number,b-field,,,,,,,,
of,b-of,,,,,,,,
this,O,,,,,,,,
credit,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
chinese,b-field,,,,,,,,
origin,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
the,O,,,,,,,,
chinese,b-field,,,,,,,,
council,i-actor,,,,,,,,
for,i-actor,,,,,,,,
promotion,i-actor,,,,,,,,
of,i-document,,,,,,,,
international,b-document,,,,,,,,
trade,i-document,,,,,,,,
or,b-or,,,,,,,,
re,b-document,,,,,,,,
-,i-document,,,,,,,,
export,i-document,,,,,,,,
certificate,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
chamber,b-actor,,,,,,,,
of,i-actor,,,,,,,,
commerce,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
triplicate,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
original,i-field,,,,,,,,
stating,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
import,b-field,,,,,,,,
into,i-document,,,,,,,,
india,b-field,,,,,,,,
is,O,,,,,,,,
under,O,,,,,,,,
free,b-field,,,,,,,,
import,i-field,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
foreign,b-document,,,,,,,,
trade,i-document,,,,,,,,
policy,i-field,,,,,,,,
2015,i-field,,,,,,,,
-,i-field,,,,,,,,
20,i-field,,,,,,,,
',O,,,,,,,,
and,O,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
goods,b-goods,,,,,,,,
are,O,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
sales,b-field,,,,,,,,
contract,i-field,,,,,,,,
no,i-field,,,,,,,,
.,i-field,,,,,,,,
20000071,i-field,,,,,,,,
se,i-field,,,,,,,,
10,i-field,,,,,,,,
dated,O,,,,,,,,
11,i-field,,,,,,,,
.,i-field,,,,,,,,
2,i-field,,,,,,,,
.,i-field,,,,,,,,
2020,i-field,,,,,,,,
.',O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,i-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
(,i-document,,,,,,,,
long,i-document,,,,,,,,
form,i-document,,,,,,,,
),i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
and,b-and,,,,,,,,
endorsed,O,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
prepaid,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
the,O,,,,,,,,
applicant,b-actor,,,,,,,,
(,O,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
address,b-field,,,,,,,,
).,i-field,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
.,O,,,,,,,,
marine,b-document,,,,,,,,
insurance,i-document,,,,,,,,
policy,i-document,,,,,,,,
/,b-or,,,,,,,,
certificate,b-document,,,,,,,,
in,O,,,,,,,,
the,O,,,,,,,,
currency,b-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
credit,b-field,,,,,,,,
for,O,,,,,,,,
full,b-field,,,,,,,,
cif,i-field,,,,,,,,
value,i-field,,,,,,,,
plus,b-and,,,,,,,,
10,b-field,,,,,,,,
pct,i-field,,,,,,,,
covering,O,,,,,,,,
institute,b-field,,,,,,,,
cargo,i-field,,,,,,,,
clauses,i-field,,,,,,,,
(,i-field,,,,,,,,
a,i-field,,,,,,,,
"),",i-field,,,,,,,,
institute,b-field,,,,,,,,
war,i-field,,,,,,,,
clauses,i-field,,,,,,,,
(,i-field,,,,,,,,
cargo,i-field,,,,,,,,
),i-field,,,,,,,,
institute,b-field,,,,,,,,
strikes,i-field,,,,,,,,
riots,i-field,,,,,,,,
and,b-and,,,,,,,,
civil,b-field,,,,,,,,
commotion,i-document,,,,,,,,
clauses,i-field,,,,,,,,
(,i-field,,,,,,,,
cargo,i-field,,,,,,,,
"),",i-field,,,,,,,,
tpnd,i-field,,,,,,,,
.,O,,,,,,,,
insurance,b-document,,,,,,,,
policy,i-document,,,,,,,,
/,b-or,,,,,,,,
certificate,b-document,,,,,,,,
should,O,,,,,,,,
be,O,,,,,,,,
dated,O,,,,,,,,
not,b-field,,,,,,,,
later,i-field,,,,,,,,
than,i-field,,,,,,,,
the,O,,,,,,,,
date,b-field,,,,,,,,
of,i-field,,,,,,,,
shipment,i-field,,,,,,,,
/,b-or,,,,,,,,
despatch,b-field,,,,,,,,
",",O,,,,,,,,
issued,O,,,,,,,,
unto,O,,,,,,,,
order,b-field,,,,,,,,
",",O,,,,,,,,
or,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
beneficiary,b-actor,,,,,,,,
and,b-and,,,,,,,,
blank,b-field,,,,,,,,
endorsed,i-field,,,,,,,,
",",O,,,,,,,,
covering,O,,,,,,,,
risks,b-field,,,,,,,,
from,b-by,,,,,,,,
warehouse,b-field,,,,,,,,
to,i-field,,,,,,,,
warehouse,b-field,,,,,,,,
with,O,,,,,,,,
claims,b-field,,,,,,,,
payable,i-field,,,,,,,,
in,b-in,,,,,,,,
india,b-field,,,,,,,,
irrespective,O,,,,,,,,
of,b-of,,,,,,,,
percentage,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
.,O,,,,,,,,
test,b-document,,,,,,,,
certificate,i-document,,,,,,,,
or,b-or,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
analysis,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
beneficiary,b-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
triplicate,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
6,b-field,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
taiwan,b-field,,,,,,,,
origin,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
the,O,,,,,,,,
chamber,b-actor,,,,,,,,
of,i-actor,,,,,,,,
commerce,i-actor,,,,,,,,
or,b-or,,,,,,,,
beneficiary,b-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
(,i-document,,,,,,,,
s,i-document,,,,,,,,
),i-field,,,,,,,,
in,b-in,,,,,,,,
three,b-field,,,,,,,,
copies,i-field,,,,,,,,
.,O,,,,,,,,
invoice,b-document,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
100pct,b-field,,,,,,,,
value,i-field,,,,,,,,
of,b-of,,,,,,,,
goods,b-goods,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
#ERROR!,b-field,,,,,,,,
incase,b-field,,,,,,,,
of,b-of,,,,,,,,
sea,b-field,,,,,,,,
shipment,i-field,,,,,,,,
:,O,,,,,,,,
2a,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
order,b-field,,,,,,,,
and,b-and,,,,,,,,
blank,b-field,,,,,,,,
endorsed,i-field,,,,,,,,
marked,i-field,,,,,,,,
',i-field,,,,,,,,
freight,b-field,,,,,,,,
collect,i-field,,,,,,,,
',i-document,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,b-actor,,,,,,,,
and,b-and,,,,,,,,
issuing,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
#ERROR!,b-field,,,,,,,,
incase,b-field,,,,,,,,
of,i-field,,,,,,,,
air,b-field,,,,,,,,
shipment,i-field,,,,,,,,
:,O,,,,,,,,
2b,b-field,,,,,,,,
.,O,,,,,,,,
original,b-field,,,,,,,,
airway,b-document,,,,,,,,
bill,i-document,,,,,,,,
marked,O,,,,,,,,
for,O,,,,,,,,
the,O,,,,,,,,
consignor,b-actor,,,,,,,,
",",O,,,,,,,,
consigned,O,,,,,,,,
to,b-to,,,,,,,,
hsbc,b-actor,,,,,,,,
",",i-actor,,,,,,,,
bangalore,i-actor,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,b-document,,,,,,,,
collect,i-field,,,,,,,,
',O,,,,,,,,
quoting,O,,,,,,,,
this,O,,,,,,,,
documentary,b-field,,,,,,,,
credit,i-field,,,,,,,,
number,i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,b-actor,,,,,,,,
and,b-and,,,,,,,,
issuing,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
.,O,,,,,,,,
original,b-field,,,,,,,,
airway,b-document,,,,,,,,
bill,i-document,,,,,,,,
showing,O,,,,,,,,
flight,b-field,,,,,,,,
number,i-field,,,,,,,,
and,b-and,,,,,,,,
date,b-field,,,,,,,,
of,i-field,,,,,,,,
dispatch,i-field,,,,,,,,
of,b-of,,,,,,,,
goods,b-goods,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
#ERROR!,b-field,,,,,,,,
incase,b-field,,,,,,,,
of,b-of,,,,,,,,
road,b-field,,,,,,,,
shipment,i-field,,,,,,,,
:,i-field,,,,,,,,
2c,b-field,,,,,,,,
.,O,,,,,,,,
original,b-field,,,,,,,,
lorry,b-document,,,,,,,,
receipt,i-document,,,,,,,,
showing,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
goods,b-goods,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
dispatched,b-field,,,,,,,,
and,b-and,,,,,,,,
marked,b-field,,,,,,,,
freight,i-field,,,,,,,,
prepaid,i-field,,,,,,,,
",",O,,,,,,,,
consigned,O,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
negotiating,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
and,b-and,,,,,,,,
further,O,,,,,,,,
endorsed,i-field,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
issuing,b-actor,,,,,,,,
bank,i-actor,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
=+,b-field,,,,,,,,
above,O,,,,,,,,
documents,O,,,,,,,,
should,O,,,,,,,,
show,O,,,,,,,,
the,O,,,,,,,,
movement,O,,,,,,,,
from,O,,,,,,,,
the,O,,,,,,,,
beneficiary,b-actor,,,,,,,,
address,i-field,,,,,,,,
in,i-field,,,,,,,,
bangladesh,b-field,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
applicant,b-actor,,,,,,,,
address,i-field,,,,,,,,
in,i-actor,,,,,,,,
india,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
/,b-or,,,,,,,,
weight,b-field,,,,,,,,
note,i-field,,,,,,,,
in,b-in,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
original,i-field,,,,,,,,
stating,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
import,b-field,,,,,,,,
into,i-document,,,,,,,,
india,b-field,,,,,,,,
is,O,,,,,,,,
under,O,,,,,,,,
free,b-field,,,,,,,,
import,i-field,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
foreign,b-document,,,,,,,,
trade,i-document,,,,,,,,
policy,i-field,,,,,,,,
2015,i-field,,,,,,,,
-,i-field,,,,,,,,
20,i-field,,,,,,,,
',O,,,,,,,,
and,O,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
goods,b-goods,,,,,,,,
are,O,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
sales,b-field,,,,,,,,
contract,i-field,,,,,,,,
no,i-field,,,,,,,,
.,i-field,,,,,,,,
20000071,i-field,,,,,,,,
se,i-field,,,,,,,,
10,i-field,,,,,,,,
dated,O,,,,,,,,
11,i-field,,,,,,,,
.,i-field,,,,,,,,
2,i-field,,,,,,,,
.,i-field,,,,,,,,
2020,i-field,,,,,,,,
.',O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,i-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
(,i-document,,,,,,,,
long,i-document,,,,,,,,
form,i-document,,,,,,,,
),i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
and,b-and,,,,,,,,
endorsed,O,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
prepaid,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
the,O,,,,,,,,
applicant,b-actor,,,,,,,,
(,O,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
address,b-field,,,,,,,,
).,i-field,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
.,O,,,,,,,,
marine,b-document,,,,,,,,
insurance,i-document,,,,,,,,
policy,i-document,,,,,,,,
/,b-or,,,,,,,,
certificate,b-document,,,,,,,,
in,O,,,,,,,,
the,O,,,,,,,,
currency,b-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
credit,b-field,,,,,,,,
for,O,,,,,,,,
full,b-field,,,,,,,,
cif,i-field,,,,,,,,
value,i-field,,,,,,,,
plus,b-and,,,,,,,,
10,b-field,,,,,,,,
pct,i-field,,,,,,,,
covering,O,,,,,,,,
institute,b-field,,,,,,,,
cargo,i-field,,,,,,,,
clauses,i-field,,,,,,,,
(,i-field,,,,,,,,
a,i-field,,,,,,,,
"),",i-field,,,,,,,,
institute,b-field,,,,,,,,
war,i-field,,,,,,,,
clauses,i-field,,,,,,,,
(,i-field,,,,,,,,
cargo,i-field,,,,,,,,
),i-field,,,,,,,,
institute,b-field,,,,,,,,
strikes,i-field,,,,,,,,
riots,i-field,,,,,,,,
and,b-and,,,,,,,,
civil,b-field,,,,,,,,
commotion,i-document,,,,,,,,
clauses,i-field,,,,,,,,
(,i-field,,,,,,,,
cargo,i-field,,,,,,,,
"),",i-field,,,,,,,,
tpnd,i-field,,,,,,,,
.,O,,,,,,,,
insurance,b-document,,,,,,,,
policy,i-document,,,,,,,,
/,b-or,,,,,,,,
certificate,b-document,,,,,,,,
should,O,,,,,,,,
be,O,,,,,,,,
dated,O,,,,,,,,
not,b-field,,,,,,,,
later,i-field,,,,,,,,
than,i-field,,,,,,,,
the,O,,,,,,,,
date,b-field,,,,,,,,
of,i-field,,,,,,,,
shipment,i-field,,,,,,,,
/,b-or,,,,,,,,
despatch,b-field,,,,,,,,
",",O,,,,,,,,
issued,O,,,,,,,,
unto,O,,,,,,,,
order,b-field,,,,,,,,
",",O,,,,,,,,
or,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
beneficiary,b-actor,,,,,,,,
and,b-and,,,,,,,,
blank,b-field,,,,,,,,
endorsed,i-field,,,,,,,,
",",O,,,,,,,,
covering,O,,,,,,,,
risks,b-field,,,,,,,,
from,b-by,,,,,,,,
warehouse,b-field,,,,,,,,
to,i-field,,,,,,,,
warehouse,b-field,,,,,,,,
with,O,,,,,,,,
claims,b-field,,,,,,,,
payable,i-field,,,,,,,,
in,b-in,,,,,,,,
india,b-field,,,,,,,,
irrespective,O,,,,,,,,
of,b-of,,,,,,,,
percentage,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
.,O,,,,,,,,
test,b-document,,,,,,,,
certificate,i-document,,,,,,,,
or,b-or,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
analysis,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
beneficiary,b-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
triplicate,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
6,b-field,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
taiwan,b-field,,,,,,,,
origin,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
the,O,,,,,,,,
chamber,b-actor,,,,,,,,
of,i-actor,,,,,,,,
commerce,i-actor,,,,,,,,
or,b-or,,,,,,,,
beneficiary,b-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
.,O,,,,,,,,
signed,O,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
quadruplicate,b-field,,,,,,,,
stating,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
import,b-field,,,,,,,,
into,i-document,,,,,,,,
india,b-field,,,,,,,,
is,O,,,,,,,,
under,O,,,,,,,,
free,b-field,,,,,,,,
import,i-field,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
foreign,b-field,,,,,,,,
trade,i-field,,,,,,,,
policy,i-field,,,,,,,,
",",i-field,,,,,,,,
april,i-field,,,,,,,,
/,i-field,,,,,,,,
march,i-field,,,,,,,,
2015,i-field,,,,,,,,
-,i-field,,,,,,,,
20,i-field,,,,,,,,
',O,,,,,,,,
and,O,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
',O,,,,,,,,
goods,b-goods,,,,,,,,
are,O,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
proforma,O,,,,,,,,
invoice,i-field,,,,,,,,
nos,i-field,,,,,,,,
.,i-field,,,,,,,,
103,i-field,,,,,,,,
/,i-field,,,,,,,,
ccjs,i-field,,,,,,,,
/,i-field,,,,,,,,
2019,i-field,,,,,,,,
-,i-field,,,,,,,,
2020,i-field,,,,,,,,
and,b-and,,,,,,,,
104,i-field,,,,,,,,
/,i-field,,,,,,,,
ccjs,i-field,,,,,,,,
/,i-field,,,,,,,,
2019,i-field,,,,,,,,
-,i-field,,,,,,,,
2020,i-field,,,,,,,,
dated,O,,,,,,,,
7,b-field,,,,,,,,
.,i-field,,,,,,,,
2,i-field,,,,,,,,
.,i-field,,,,,,,,
2020,i-field,,,,,,,,
of,b-of,,,,,,,,
hi,b-field,,,,,,,,
company,i-field,,,,,,,,
.',O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
.,O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
clean,b-document,,,,,,,,
shipped,i-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
(,i-document,,,,,,,,
long,i-document,,,,,,,,
form,i-document,,,,,,,,
),O,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
shippers,b-actor,,,,,,,,
and,b-and,,,,,,,,
endorsed,O,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
prepaid,i-field,,,,,,,,
',O,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
the,O,,,,,,,,
applicant,b-actor,,,,,,,,
(,i-field,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
address,b-field,,,,,,,,
"),",i-field,,,,,,,,
quoting,O,,,,,,,,
the,O,,,,,,,,
number,b-field,,,,,,,,
of,b-of,,,,,,,,
this,O,,,,,,,,
credit,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
.,O,,,,,,,,
packing,b-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
4,b-field,,,,,,,,
copies,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
